Name;Total area;Woodland and shrubland;Cropland;Grassland;Water areas  and wetland;Artificial 
Belgium;30 666;27,8;29,1;28,2;3,3;11,7
Bulgaria;110 996;48,8;32,3;14,7;2,0;2,3
Czechia;78 871;39,3;33,7;20,1;2,4;4,4
Denmark;42 925;21,9;47,7;19,7;3,8;6,9
Germany ;357 569;35,7;32,3;20,8;3,7;7,6
Estonia;45 336;58,7;12,9;16,2;10,5;1,7
Ireland;69 947;24,2;5,5;57,7;8,5;4,2
Greece;131 694;57,6;20,5;13,8;4,1;4,0
Spain;498 502;50,1;27,4;12,8;6,0;3,7
France;549 060;36,0;29,9;24,6;3,8;5,7
Croatia;56 594;59,2;16,6;17,4;3,7;3,2
Italy;302 072;41,2;31,7;16,4;4,2;6,6
Cyprus;9 253;46,5;30,4;10,9;6,0;6,2
Latvia;64 585;56,0;15,4;20,9;5,9;1,7
Lithuania;65 284;39,6;32,0;21,9;4,3;2,1
Luxembourg;2 595;36,9;21,8;32,9;1,1;7,4
Hungary;93 012;28,2;43,5;17,5;6,8;4,0
Malta;316;16,9;28,7;18,5;8,4;27,5
Netherlands;37 377;16,8;23,0;34,2;13,3;12,6
Austria;83 878;48,5;15,9;24,2;7,3;4,2
Poland;311 929;37,6;34,7;20,7;3,3;3,6
Portugal;89 103;56,2;16,3;15,8;5,3;6,4
Romania;238 398;37,0;32,6;22,9;4,7;2,8
Slovenia;20 273;65,8;11,0;17,8;1,2;4,3
Slovakia;49 035;49,5;27,5;17,6;2,0;3,4
Finland;338 411;69,6;5,3;5,7;17,6;1,7
Sweden;447 424;68,5;4,0;5,5;20,1;1,8
Total;4 125 107;46,8;24,2;17,4;7,3;4,2
